No. Of Ads,Ranking,rank/ads,Target,Keywords,Header,Text,URL,Location,Timestamp
3,2,0.666666667,1,Washington fine dining restaurant,2941 Restaurant,$20.10 special lunch menu all month 3.5 stars - Washington Post ,2941.com,,1269153593
2,1,0.5,1,New York Indian restaurant,Royal Bengal Restaurant,$5 off with $30 or More/Take Out 617) 491-1988 ,www.bengalicafe.com,New York,1269055879
3,2,0.666666667,1,Washington romantic restaurant,2941 Restaurant,$58 Four-Course Dinner Menu M-F 3.5 stars - Washington Post ,2941.com,,1269154125
4,1,0.25,1,New York Italian restaurant,Nocello,(212) 713-0224 Best Italian Restaurant in New York ,www.nocello.net,"257 W 55th St, New York, NY",1269048685
3,1,0.333333333,1,Philadelphia Sushi restaurant,Sushi Planet,(215) 922-5000 Order online or by phone ,www.sushi-planet.com,,1269051612
3,2,0.666666667,1,Houston romantic restaurant,Kemah Dinner Cruises -$59,"2 Hrs, Dinner &amp; Dancing. Perfect for Birthdays &amp; Anniversaries! ",www.StarFleetYachts.com,"Houston, TX",1269153921
2,2,1,0,Seattle Steak restaurant,13 Coins Seattle,24 Hour Dining Seattle Seattle and SeaTac Airport Location ,13coins.com/,,1269054233
3,2,0.666666667,1,Denver best restaurant,The White Chocolate Grill,A contemporary American Restaurant serving honest American food. ,www.whitechocolategrill.com,,1269155508
4,1,0.25,1,Chicago best restaurant,Top Chicago Restaurant,A Grand 1940s Dinner Club. View Wildfire&#39;s Delicious Menu ,www.wildfirerestaurant.com,,1269155301
4,3,0.75,0,Chicago romantic restaurant,Top Chicago Restaurant,A Grand 1940s Dinner Club. View Wildfire&#39;s Delicious Menu ,www.wildfirerestaurant.com,,1269153906
3,3,1,0,Virginia Beach best restaurant,Fine Italian Dining,Aldo&#39;s Ristorante - Award Winning Wine Spectator Award Since 1995 ,www.AldosVB.com,"Norfolk-Portsmouth-Newport News,VA",1269155949
2,2,1,0,Virginia Beach Steak restaurant,Fine Italian Dining,Aldo&#39;s Ristorante - Award Winning Wine Spectator Award Since 1995 ,www.AldosVB.com,"Norfolk-Portsmouth-Newport News,VA",1269054396
5,3,0.6,1,Oakland Bar restaurant,Chili&#39;s Grill &amp; Bar,All of Our Appetizers Are Made To Order &amp; Too Good Not To Share! ,www.Chilis.com,,1269132791
4,2,0.5,1,Kansas City Mexican restaurant,Cinzetti&#39;s Restaurant,All You Can Eat Italian in Overland Park. Large Groups Welcome. ,www.Cinzzettis.com,"Kansas City, MO",1269152941
3,3,1,0,Houston Steakhouse restaurant,Mo&#39;s - A Place for Steaks,An elegant steakhouse located on Post Oak in Houston. 713-877-0720 ,www.MosAPlaceForSteaks.com,"Houston, TX",1269053107
2,1,0.5,1,Las Vegas Mexican restaurant,Hofbräuhaus Las Vegas,An Experience Unlike Any Other! Authentic Food. German Beer. ,www.hofbrauhauslasvegas.com,Nevada,1269152826
2,2,1,0,Kansas City best restaurant,Kansas City Restaurants,Are All Near Chateau Avalon 62 Romantic Theme Suites ! ,www.ChateauAvalonHotel.com,,1269155921
5,4,0.8,0,Oakland Mediterranean restaurant,Restaurant Recommendation,"At Larry&#39;s, we only reccommend the finest restaurants in California. ",www.AtLarrys.com,California,1269147001
3,1,0.333333333,1,Las Vegas Spanish restaurant,Via Brasil Steakhouse,Authentic Brazilian Steakhouse. Finest Meats Served Rodizio Style. ,www.viabrasilsteakhouse.com,1225 S. Fort Apache Rd. Suite 100,1269152259
2,2,1,0,Charlotte Chinese restaurant,Soho Bistro Charlotte NC,Authentic Chinese Food Takeout and Delivery to Uptown area ,www.Uptown2Go.com,"Charlotte, NC",1269050307
3,1,0.333333333,1,Chicago Indian restaurant,The India Grill,Authentic Indian Cuisine Parking Available / 312 662-1111 ,www.TheIndiaGrill.com,,1269055896
3,1,0.333333333,1,Seattle Italian restaurant,IL Fornaio Restaurant,Authentic Italian Food and Wine Lunch &amp; Dinner in Downtown Seattle! ,www.ILFornaio.com/Seattle,"Seattle-Tacoma, WA",1269048966
3,2,0.666666667,1,Seattle romantic restaurant,IL Fornaio Restaurant,Authentic Italian Food and Wine Lunch &amp; Dinner in Downtown Seattle! ,www.ILFornaio.com/Seattle,"Seattle-Tacoma, WA",1269154112
2,1,0.5,1,Seattle Steak restaurant,IL Fornaio Restaurant,Authentic Italian Food and Wine Lunch &amp; Dinner in Downtown Seattle! ,www.ILFornaio.com/Seattle,"Seattle-Tacoma, WA",1269054233
2,1,0.5,1,Las Vegas fine dining restaurant,IL Fornaio Restaurant,Authentic Italian Food. Located in New York-New York Hotel &amp; Casino. ,www.ILFornaio.com/LasVegas,"Las Vegas, NV",1269153599
4,3,0.75,0,Philadelphia romantic restaurant,Mamma Maria,Authentic Italian Restaurant. Call For Large Parties &amp; Banquets. ,www.MammaMaria.info,"1637 E. Passyunk Avenue, Philadelphia",1269153937
3,2,0.666666667,1,New York Sushi restaurant,AriRang Steak &amp; Sushi,"Authentic Japanese Restaurant. Parties, Happy Hr, Group Hibachi. ",www.PartyOnTheGrill.com,,1269051565
2,2,1,0,San Diego Sushi restaurant,Sushi Restaurant,Authentic Japanese Sushi Restaurant 3 Locations In San Diego County! ,www.LoveBoatSushi.com,"San Diego, CA",1269051639
4,2,0.5,1,Las Vegas Chinese restaurant,Chinese Restaurant Las Vegas,Authentic Thai And Chinese Cuisine &amp; Catering. Delivery To The Strip. ,www.kungfuplaza.com,,1269050419
3,2,0.666666667,1,Raleigh romantic restaurant,Talulla&#39;s,"Authentic Turkish &amp; Ottoman Cuisine Lounge, Live Music, Late Night... ",www.talullas.com,"Raleigh-Durham (Fayetteville), NC",1269154646
4,2,0.5,1,San Francisco Chinese restaurant,Brandy Ho&#39;s Hunan Food,"Award Winning Chinese Dining. Eat In, Delivery and To Go in SF. ",BrandyHos.com,,1269050243
