No. Of Ads,Ranking,,Keywords,Header,Text,URL,Location,Timestamp
2,1,0.5,Albuquerque Bar restaurant,Popular Albuquerque Bars,Sign Up For 1 Amazing Deal A Day On Albuquerque&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Albuquerque,"Albuquerque-Santa Fe, NM",1269132690
2,2,1,Albuquerque Bar restaurant,Albuquerque Restaurants,Find local restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269132690
2,1,0.5,Albuquerque best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155611
2,2,1,Albuquerque best restaurant,ABQ&#39;s Best Restaurants,"Entree Photos, Real Menus &amp; Virtual Tours of ABQ&#39;s Best Restaurants ",www.VirtualAlbuquerque.com,,1269155611
2,1,0.5,Albuquerque Brazilian steakhouse,Authentic Brazilian Steak,Experience a fun festive atmosphere Lunch for $12.95 &amp; Dine for $19.95! ,Tucanos.com/Steakhouse,"Albuquerque-Santa Fe, NM",1269150409
2,2,1,Albuquerque Brazilian steakhouse,Brazilian steak,Find brazilian steak here. We offer local search in your area. ,newmexico.local.com,New Mexico,1269150409
3,1,0.333333333,Albuquerque Chinese restaurant,Chinese Restaurants,Find Chinese Restaurants &amp; Delivery Search Our Restaurant Listings Now! ,yellowpages.com,"Albuquerque-Santa Fe, NM",1269050487
3,2,0.666666667,Albuquerque Chinese restaurant,Ethnic Restaurant Coupons,New Mexico Coupons Print Now - Save Today ,nmmarketplace.yourcouponnetwork.com,,1269050487
3,3,1,Albuquerque Chinese restaurant,Albuquerque Restaurants,"Every Restaurant, Every Cuisine. Enjoy Albuquerque Dining Tonight. ",HelloAlbuquerque.com,,1269050487
1,1,1,Albuquerque Ethiopian restaurant,Bing™ Search Local,Albuquerque Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269057048
1,1,1,Albuquerque fine dining restaurant,Vernon&#39;s Steakhouse,The steakhouse everyone talks about Best steakhouse in the state ,www.thehiddensteakhouse.com,New Mexico,1269153660
2,1,0.5,Albuquerque French restaurant,Bing ™ Search Local,Albuquerque Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147459
2,2,1,Albuquerque French restaurant,French Restaurants,Albuquerque french restaurants. Find local businesses on DexKnows. ,www.DexKnows.com,New Mexico,1269147459
