No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
1,1,Raleigh Ethiopian restaurant,Raleigh Ethiopian Restaurant,Raleigh Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132258
1,1,Tulsa Ethiopian restaurant,Tulsa Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269132264
1,1,Minneapolis Ethiopian restaurant,Minneapolis Businesses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269132272
2,1,Colorado Springs Ethiopian restaurant,Colorado Springs Restaurants,Find local restaurants in the Colorado Springs area. ,www.DexKnows.com,Colorado,1269132280
2,2,Colorado Springs Ethiopian restaurant,Local Ethiopian Restaurant,Local Search for Colorado Springs. Find Ethiopian Restaurant Here. ,ColoradoSprings.Local.com,"Colorado Springs, CO",1269132280
1,1,Honolulu Ethiopian restaurant,Honolulu Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269132292
1,1,Arlington Ethiopian restaurant,Arlington Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269132306
1,1,Vancouver Ethiopian restaurant,Vancouver Restaurants,Outline of Restaurants in Vancouver Visit the Official Tourism BC Site! ,HelloBC.com/VancouverDining,,1269132320
1,1,Melbourne Ethiopian restaurant,Ethiopia Food,Making a difference for 25 years! Help us change lives for the better ,www.SelfHelpAfrica.com/Ethipoia,,1269132354
2,1,New York Bar restaurant,New York Weekly Deals,"Get 50-90% off the top restaurants, spas, &amp; entertainment. New weekly! ",www.BuyWithMe.com,"New York, NY",1269132364
2,2,New York Bar restaurant,New York Bar Menu,Read Local review on Bar Menu on Citysearch. Try it now! ,newyork.Citysearch.com,,1269132364
1,1,Los Angeles Bar restaurant,LA Springbok Bar,"LA&#39;s Favorite Sports Bar, Complete W/ Ladies Night &amp; Karaoke. Visit Us ",www.TheSpringbok.com/BarNGrill,"16153 Victory Boulevard, Van Nuys, CA",1269132370
1,1,Chicago Bar restaurant,Chicago Restaurants,Find local restaurants in the Chicago area. ,www.DexKnows.com,,1269132384
2,1,Houston Bar restaurant,Popular Houston Bars,Sign Up For 1 Amazing Deal A Day On Houston&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Houston,"Houston, TX",1269132392
2,2,Houston Bar restaurant,Houston Restaurants,Find listings &amp; reviews for top restaurants in the Houston area. ,yellowpages.com,"Houston, TX",1269132392
2,1,Phoenix Bar restaurant,Phoenix Bar,Sign Up For 1 Awesome Deal A Day On Phoenix&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Phoenix,"Phoenix, AZ",1269132404
2,2,Phoenix Bar restaurant,Bar Restaurant Phoenix,"Phoenix Martini Lounge. Great Specials, Music &amp; Food. 56th St. ",www.BlueMartiniLounge.com,,1269132404
4,1,Philadelphia Bar restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269132416
4,2,Philadelphia Bar restaurant,Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1269132416
4,3,Philadelphia Bar restaurant,Restaurant &amp; Bars,Philly&#39;s Big. Find Clubs that Don&#39;t Suck before the People who Do ,Thrillist.com,"Philadelphia, PA",1269132416
4,4,Philadelphia Bar restaurant,Philadelphia Bar Food,Look for Top-rated Bar Food near you with our Ratings! ,philadelphia.Citysearch.com,,1269132416
2,1,San Antonio Bar restaurant,Restaurant Bar,Great Specials Every Day. Visit Houlihan&#39;s Today. ,Houlihans.com/Specials,,1269132428
2,2,San Antonio Bar restaurant,San Antonio Bar Scene,Read Local Review of Bar Scenes on Citysearch. Try it now! ,SanAntonio.Citysearch.com,,1269132428
1,1,Dallas Bar restaurant,Popular Dallas Bars,Sign Up For 1 Amazing Deal A Day On Dallas&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Dallas,"Dallas-Ft. Worth, TX",1269132437
2,1,San Diego Bar restaurant,Sports Bar In Chula Vista,"Monday Night Football in Here! All Football Pro Game, Great Food ",CentercutSportsBar.AdzZoo.com,,1269132446
2,2,San Diego Bar restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269132446
1,1,San Jose Bar restaurant,San Jose Restaurant,San Jose Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132452
1,1,Detroit Bar restaurant,Detroit Restaurant Guide,"Search Our Restaurant Listings For Diners, Cafes, Delivery &amp; Take-Out! ",yellowpages.com,"Detroit, MI",1269132466
2,1,San Francisco Bar restaurant,Bar &amp; Restaurant,Café Claude - Classic French Bistro Discover France In San Francisco! ,www.cafeclaude.com,"San Francisco, CA",1269132476
2,2,San Francisco Bar restaurant,SF Restaurant Bars,Sign Up for Thrillist&#39;s Updates on Hot New Bars &amp; Hidden Nightclubs! ,Thrillist.com,,1269132476
1,1,Jacksonville Bar restaurant,Jacksonville Restaurants,Jacksonville Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132490
1,1,Indianapolis Bar restaurant,Indianapolis Restaurants,Find listings &amp; reviews for top restaurants in Indianapolis. ,yellowpages.com,"Indianapolis, IN",1269132497
1,1,Austin Bar restaurant,Restaurants &amp; Bars,Find Austin Bars that Don&#39;t Suck Get Thrillist Free Daily Emails ,Thrillist.com,"Austin, TX",1269132504
1,1,Charlotte Bar restaurant,Charlotte Bar Menu,Read Local review on Bar Menu on Citysearch. Try it now! ,charlotte.Citysearch.com,,1269132545
1,1,Memphis Bar restaurant,Memphis Restaurants,Memphis Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132559
1,1,Boston Bar restaurant,JA Stats Restaurant &amp; Bar,Half Price Appetizers Every Monday Through Friday. Stop By Today! ,JAStats.com,"Boston, MA-Manchester, NH",1269132577
1,1,El Paso Bar restaurant,El Paso Bar,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269132585
1,1,Denver Bar restaurant,Bars Restaurants Denver,Live Country Music &amp; Dancing. Come to The Grizzly Rose in Denver. ,www.GrizzlyRose.com,,1269132607
2,1,Seattle Bar restaurant,Seattle Restaurants Bar,Seattle&#39;s Big. Find Out Where to Go Before the People Who Suck Do. ,Thrillist.com,,1269132615
