No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
2,1,Vegetarian,Oppose Cruelty,Make A Difference In The World. Try Our Free Vegetarian Recipes! ,TryVegetarian.Org,,1269658779
2,2,Vegetarian,Vegetarian,Looking for Vegetarian? Vegetarian &amp; info here! ,goodcooking.com/recipes,,1269658779
2,1,Vegan,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1269658789
2,2,Vegan,Want Gluten Free Recipes?,Try Gluten Free Multi-Seed Crackers In Great Tasting Recipes. $1 OFF. ,www.Crunchmaster.com,,1269658789
2,1,Restaurant,Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269658803
2,2,Restaurant,Japanese Restaurants,Find user-reviewed Japanese Restaurants in your area. ,Philadelphia.Citysearch.com,"Philadelphia, PA",1269658803
4,1,fine-dining,Philadelphia Fine Dining,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"Philadelphia, PA",1269658810
4,2,fine-dining,Ruth&#39;s Chris Steak House,Online reservations now available. Book your Philadelphia table now. ,www.ruthschris.com,"Philadelphia, PA",1269658810
4,3,fine-dining,City Tavern Restaurant,18th Century Gourmet Cuisine. Dining &amp; Private Events. Est. 1773. ,www.citytavern.com,"138 South 2nd Street, Philadelphia, PA",1269658810
4,4,fine-dining,Fine Dining,Unique Dining at Penn&#39;s Landing. Waterfront &amp; City Views. Call Now. ,www.Moshulu.com,"Philadelphia, PA",1269658810
4,1,Healthy,Learn to Live Healthy,Free Healthy Eating &amp; Exercise Tips Feel Beautiful &amp; Love Your Body! ,www.LoveMyBody.Org,,1269658828
4,2,Healthy,AdvoCare: 70+ Products,"Health, Fitness, Energy: Ask Jen, your AdvoCare Indep. Distributor! ",www.AdvoCare.com/10017638,,1269658828
4,3,Healthy,Healthy Cats,A Healthy Cat is a Happy Cat. Show Your Cat That You Care For Them! ,www.carealotpets.com,,1269658828
4,4,Healthy,Healthy,Overweight Kids Doomed for Heart Disease. Read More at That&#39;sFit. ,ThatsFit.com,,1269658828
1,1,Romantic,Romantic Nile cruise,Romance and intimacy at its best Plan your perfect getaway ,www.egypt.travel,,1269658838
1,1,Best vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269658849
1,1,exotic restaurants,Exotic Restaurants,Find Exotic Restaurants near you Local Search on Exotic Restaurants ,www.HelloLocal.com,,1269658859
2,1,Vegan restaurants ,Thinking of Being Vegan?,You need a vegan friend to show you the ropes. Make one here now. ,www.veganpal.com,,1269658864
2,2,Vegan restaurants ,Vegan Restaurants,Search for Vegan Restaurants Find Vegan restaurants ,Ask.com,,1269658864
1,1,fine dinning vegetarian restaurants ,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269658872
4,1,Fine Dining Philly,Fine Dining Philly,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"Philadelphia, PA",1269658883
4,2,Fine Dining Philly,City Tavern Restaurant,18th Century Gourmet Cuisine. Dining &amp; Private Events. Est. 1773. ,www.citytavern.com,"138 South 2nd Street, Philadelphia, PA",1269658883
4,3,Fine Dining Philly,Dining in Philadelphia,Find Out About New Restaurants - But Only The Good Ones ,Thrillist.com,"Philadelphia, PA",1269658883
4,4,Fine Dining Philly,Fine Dining Philadelphia,"Relaxed &amp; Friendly Near Rittenhouse 261 S. 21st St. Philadelphia, PA. ",www.fridaysaturdaysunday.com,"Philadelphia, PA",1269658883
1,1,restaurants on south streets,Map With Restaurants,"Get Directions w/Traffic Info, By Shortest Time, Distance &amp; More! ",www.bing.com/maps,,1269658889
1,1,Vegetarian restaurants,Vegetarian Restaurants,Search Our Restaurants Listings For Vegetarian Diners &amp; Cafes Near You! ,yellowpages.com,,1269658902
2,1,Philadelphia restaurants,Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1269658910
2,2,Philadelphia restaurants,Philadelphia Restaurants,Look for Top-rated Restaurants &amp; Dining near you with our Ratings! ,philadelphia.Citysearch.com,,1269658910
2,1,vegetarian desserts ,Free Vegetarian Recipes,"Easy, healthy, delicious &amp; free. Plus lots more info. Start cooking! ",www.TryVeg.com,,1269658921
2,2,vegetarian desserts ,Vegetarian Desserts,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1269658921
