No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
4,1,"restaurant in philadelphia""""",Philly&#39;s Best at 50%+ Off,Exclusive Deals at Top Restaurants In Philadelphia-Join Today For Free ,BuyWithMe.com/Philadelphia,"Philadelphia, PA",1270491747
4,2,"restaurant in philadelphia""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270491747
4,3,"restaurant in philadelphia""""",Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1270491747
4,4,"restaurant in philadelphia""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270491747
4,1,philadelphia restaurant guide,Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270491759
4,2,philadelphia restaurant guide,Philadelphia Dining Guide,"Reviews, Photos, Menus, Coupons Chef Profiles, Recipes, Events ",PhiladelphiaRestaurants.com,,1270491759
4,3,philadelphia restaurant guide,Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270491759
4,4,philadelphia restaurant guide,Philadelphia Restaurant Guide,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270491759
4,1,restaurant in philly,Cheeseburger in Paradise,Check Out What&#39;s New- Same Great Food &amp; Drinks w/ A Sports Updgrade! ,CheeseburgerInParadise.com/PA,,1270491765
4,2,restaurant in philly,Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270491765
4,3,restaurant in philly,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1270491765
4,4,restaurant in philly,Restaurants In Philadelphia,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1270491765
4,1,best restaurant philly,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1270491777
4,2,best restaurant philly,Best Restaurant Philly,Philadelphia Fine Dining &amp; Events. Make Your Reservation Online Today. ,BistroStTropez.com,,1270491777
4,3,best restaurant philly,Del Frisco&#39;s Las Vegas,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,"1426 Chestnut Street, Philadelphia, PA",1270491777
4,4,best restaurant philly,Philadelphia Restaurants,Find Out About New Restaurants - But Only The Good Ones ,Thrillist.com,"Philadelphia, PA",1270491777
4,1,philadelphia restaurant review,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270491791
4,2,philadelphia restaurant review,Dining out in Philly?,Find menus + photos of local Philly restaurants. Skip the chains! ,www.dineindie.com,,1270491791
4,3,philadelphia restaurant review,Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270491791
4,4,philadelphia restaurant review,Philly&#39;s Best at 50%+ Off,Exclusive Deals at Top Restaurants In Philadelphia-Join Today For Free ,BuyWithMe.com/Philadelphia,"Philadelphia, PA",1270491791
4,1,restaurants in philadelphia,Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270491802
4,2,restaurants in philadelphia,Dining out in Philly?,Find menus + photos of local Philly restaurants. Skip the chains! ,www.dineindie.com,,1270491802
4,3,restaurants in philadelphia,Luxury Philly Restaurant,Upscale dining at the Lacroix Restaurant in Philadelphia. ,LacroixRestaurant.com/Philadelphia,,1270491802
4,4,restaurants in philadelphia,Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270491802
4,1,philadelphia restaurant reviews,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1270491809
