No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
1,1,vegan restaurants in philly,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270099843
4,1,vegan restaurants philly,Sweet Freedom Bakery,"Allergen-Free Bakery-215.545.1899 1424 South St Philadelphia, PA ",www.sweetfreedombakery.com,"1424 South Street, Philadelphia, PA",1270099857
4,2,vegan restaurants philly,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270099857
4,3,vegan restaurants philly,Bing ™ Search Local,Philadelphia Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1270099857
4,4,vegan restaurants philly,Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270099857
1,1,vegetarian restaurants pa,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270099865
2,1,vegan organic,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270099880
2,2,vegan organic,The Bad News About Soy,Hexane: the dirty little secret about soy foods. Get the truth. ,www.cornucopia.org/soy,,1270099880
4,1,vegetarian stores,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270099895
4,2,vegetarian stores,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270099895
4,3,vegetarian stores,Vegetarian,Learn How A Change In Diet Has Helped One Man Living With Diabetes ,AARPMagazine.org,,1270099895
4,4,vegetarian stores,All Vegan Store,Wide Range Of Vegan And Gluten Free Foods. Quick Delivery Guaranteed! ,www.CosmosVeganShoppe.com,,1270099895
4,1,vegan food,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270099912
4,2,vegan food,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270099912
4,3,vegan food,Vegan Organic Food Bars,"Finest Quality Organic, Kosher Food Bars. Low Prices. Broad Selection. ",www.worldpantry.com,,1270099912
4,4,vegan food,Skinny Couple (in a box),New box set of bestselling series by Rory Freedman and Kim Barnouin ,www.skinnybitch.net,,1270099912
4,1,vegetarian menus,Free Vegetarian Recipes,"Easy, healthy, delicious &amp; free. Plus lots more info. Start cooking! ",www.TryVeg.com,,1270099919
4,2,vegetarian menus,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270099919
4,3,vegetarian menus,Eat Now with Delivery.com,Vegetarian Food Delivery From Your Favorite Philadelphia Restaurants. ,www.Delivery.com,"Philadelphia, PA",1270099919
4,4,vegetarian menus,Free Vegetarian Recipes,Thousands of Delicious Recipes Absolutely Free! ,VegCooking.com,,1270099919
3,1,vegetarian menu,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270099931
3,2,vegetarian menu,Vegan Menu,Order From Favorite Philadelphia Restaurants &amp; Earn Delivery Points! ,www.Delivery.com,"Philadelphia, PA",1270099931
3,3,vegetarian menu,Vegetarian Menus,Search multiple engines at once for vegetarian menus ,www.webcrawler.com,,1270099931
3,1,vegetarian lifestyle,Oppose Cruelty,Make A Difference In The World. Try Our Free Vegetarian Recipes! ,TryVegetarian.Org,,1270099936
3,2,vegetarian lifestyle,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270099936
3,3,vegetarian lifestyle,Vegetarian,Learn How A Change In Diet Has Helped One Man Living With Diabetes ,AARPMagazine.org,,1270099936
4,1,vegetarian information,Diet-to-Go Vegetarian,Delivered to Your Door Super Fresh Delicious Vegetarian Meal Delivery ,www.DietToGo.com,,1270099945
4,2,vegetarian information,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270099945
4,3,vegetarian information,Vegetarian Starter Kit,Looking To Try A Vegetarian Diet? Get Your Free Starter Kit Here! ,PETA.org,,1270099945
4,4,vegetarian information,Vegetarian Information,5 simple Reasons to you should go Vegetarian. They might surprise you ,MyDailyMoment.com,,1270099945
3,1,vegetarian cuisine,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270099951
3,2,vegetarian cuisine,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270099951
3,3,vegetarian cuisine,Vegetarian Cuisine,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270099951
2,1,vegan cuisine,What&#39;s Cooking Vegan?,Best of Vegan Cooking 84 healthy and delicious recipes ,www.friendsofanimals.org,,1270099965
2,2,vegan cuisine,Vegan Recipes,Alicia Silverstone Backs 21-Day Vegan Kickstart. Read More. ,ThatsFit.com,,1270099965
2,1,vegetarian news,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270099977
2,2,vegetarian news,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270099977
2,1,vegan catering,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270099987
2,2,vegan catering,Karmavore Vegan Shop,Vancouver&#39;s Vegan Store! Retail Location &amp; Online Shopping ,karmavore.ca,,1270099987
4,1,vegetarian organic food,Walmart Community,Walmart is Working to Cut Emissions and Make Communities Green. Join! ,www.WalmartCommunity.com,Pennsylvania,1270099995
4,2,vegetarian organic food,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270099995
4,3,vegetarian organic food,GoBIO! Organics,Shop online organic and gluten-free products - wholesale and retail ,www.gobiofood.com,,1270099995
4,4,vegetarian organic food,Lactopriv B Soy Base Sale,"Lactopriv B Soy Base from Topfer at VitaNet, LLC Health Food Store ",vitanetonline.com/,,1270099995
2,1,vegetarian websites,Need A Web Site?,Websites &amp; Web Marketing Help Me Rhonda Advertising ,www.helpme-rhonda.com,"Suite 200, 261 Old York Road, Jenkintown",1270100005
2,2,vegetarian websites,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100005
1,1,vegetarian resturants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100019
2,1,vegetarian restaurant guide,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270100025
2,2,vegetarian restaurant guide,Vegetarian Restaurants,Search Our Restaurants Listings For Vegetarian Diners &amp; Cafes Near You! ,yellowpages.com,,1270100025
2,1,vegetarian restaurant,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100032
2,2,vegetarian restaurant,Free Restaurant Coupons,"Coupons for 1,000s of restaurants! Plus thousands of other coupons. ",www.ShopAtHome.com,,1270100032
3,1,gluten free restaurants,Enjoy Gluten Free Pizza,Delicious Authentic Tasting Eat at your local pizzeria ,www.stillridingpizza.com,,1270100039
3,2,gluten free restaurants,Gluten Free Food Source,Gluten Free Pasta. Order now. Shop 5000 Gluten Free items ,YourGlutenFreeSource.com/,,1270100039
3,3,gluten free restaurants,Gluten Free Restaurants,Find the Best Results for Gluten Free Restaurants. Ask.com! ,www.Ask.com,,1270100039
2,1,vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100048
2,2,vegetarian restaurants,Restaurants Vegetarian,Looking For Restaurants Vegetarian? Find It By Location With Local.com! ,Local.com,"Philadelphia, PA",1270100048
3,1,vegetarian date,Spiritual and Single?,"Conscious, Spiritual, Enlightened Metaphysical, New Age Dating Site ",www.SpiritualSingles.com,,1270100061
3,2,vegetarian date,Free Green Personals,"Meet Singles Who Share Your Values For Dating, Friendship, Romance ",www.GreenSingles.com,,1270100061
3,3,vegetarian date,Vegetarian Singles,View Photo Profiles. Meet Local Vegetarian Singles. Join Now Free. ,www.Fitness-Singles.com,,1270100061
1,1,vegan date,Vegetarians / Vegans,Successful Diet Secrets Revealed. Download Immediately. Only $57 ,www.easyveggiemealplans.com,,1270100075
3,1,vegan stores,"Shop Eco, Ethical Fashion",Wear your conscience on your sleeve Eco and fair trade shoes &amp; clothing ,www.worldofgood.com,,1270100083
3,2,vegan stores,Sexy Thin Vegan Wallets,Nylon Microfiber w/special coating Many Styles w/ Same Day Shipping ,www.BigSkinny.net,,1270100083
3,3,vegan stores,Vegan Store,Find Stores By Location With Local.com Today! ,Local.com,,1270100083
1,1,vegan resturants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100089
1,1,vegetarian restaurant philadelphia,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100098
2,1,vegetarian restaurants in philadelphia,Veg Food in Philly,Find veg-friendly restaurants and shopping in Philly ,www.VegGuide.Org,,1270100108
2,2,vegetarian restaurants in philadelphia,Philadelphia Restaurants,Find Dinner and Lunch Options And Plan Your Trip To Philly Now! ,VisitPhilly.com/Restaurants,Pennsylvania,1270100108
1,1,vegetarian resturant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270100123
3,1,vegan raw,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270100129
3,2,vegan raw,Raw Vegan Success,The Key 100% Raw Vegan Longevity Informative Articles &amp; Interviews ,www.RawSpirit.org,,1270100129
3,3,vegan raw,Sun Warrior Protein,Raw Vegan. Made with whole brown rice protein. ,www.netrition.com,,1270100129
4,1,raw food vegan,World&#39;s Top Raw Food,"100% Raw, Certified Organic Food. Deliciously natural. Great prices. ",Sunfood.com,,1270100143
4,2,raw food vegan,Raw Food Products,Raw food yummy organic snacks &amp; Raw food kitchen appliances ,www.live-live.com,,1270100143
4,3,raw food vegan,Raw Vegan Success,The Key 100% Raw Vegan Longevity Informative Articles &amp; Interviews ,www.RawSpirit.org,,1270100143
4,4,raw food vegan,Raw Food Vegan at Amazon,Save on Raw food vegan! Qualified orders over $25 ship free ,Amazon.com/books,,1270100143
2,1,vegan restaurant,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270100160
2,2,vegan restaurant,Vegan Dining,Find A Nearby Restaurant With Vegan Dining On The Menu Here. ,philadelphia.local.com,"Philadelphia, PA",1270100160
2,1,vegan restaurants,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270100168
2,2,vegan restaurants,Top Vegan Restaurants,"Search best restaurants on map with menu, reviews, photos, video &amp; more ",www.metaflavor.com/,,1270100168
1,1,vegetarian friendly restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100178
4,1,vegan dining,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270100186
4,2,vegan dining,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270100186
4,3,vegan dining,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270100186
4,4,vegan dining,Extensive Vegan Shopping,"Vegan Foods, Shoes, Belts, Bags, Books, Videos, &amp; Accessories ",www.TheVegetarianSite.com,,1270100186
3,1,raw food restaurants,Raw Food Magazine,Leading Raw &amp; Living Food Magazine. Download Your Free Copy Now! ,www.fresh-network.com,,1270100199
3,2,raw food restaurants,Philadelphia - Raw Food,Looking for Raw Food in Philadelphia? Find it here! ,www.local.com,"Philadelphia, PA",1270100199
3,3,raw food restaurants,Raw Food Restaurants,Search multiple engines for raw food restaurants ,www.webcrawler.com,,1270100199
4,1,gluten free restaurant,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270100213
4,2,gluten free restaurant,Gluten-free Dining,Now Over 250 Gluten-Free Products From General Mills. Try Them Today! ,www.LiveGlutenFreely.com,,1270100213
4,3,gluten free restaurant,GF Restaurant Menus,View Gluten Free Menus of National and Regional Restaurant Chains ,GlutenFreeTravelSite.com,,1270100213
4,4,gluten free restaurant,Gluten Free Restaurants,Dining gluten-free is easy! Free list w/menus and restaurant locator ,GlutenFreeChecklist.com/Restaurants,,1270100213
4,1,classy restaurants,Restaurants,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1270100225
4,2,classy restaurants,Fine Dining in Philly,Taste the Luxury Of Fine Dining At Four Seasons Fountain Restaurant! ,FourSeasons.com/Philadelphia,"Philadelphia, PA",1270100225
4,3,classy restaurants,5 Star Restaurants,Search for 5 Star Restaurants Find 5 star restaurants ,www.Ask.com,,1270100225
4,4,classy restaurants,Top Classy Restaurants,"Search best restaurants on map with menu, reviews, photos, video &amp; more ",www.metaflavor.com/,,1270100225
