State,Keyword,Status,Max. CPC,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position
enabled,vegan food,eligible,$1.50 ,4,327,1.22%,$1.08 ,$4.31 ,2.1
enabled,vegetarian menus,eligible,$1.50 ,0,6,0.00%,$0.00 ,$0.00 ,3.8
enabled,vegetarian menu,eligible,$1.50 ,0,20,0.00%,$0.00 ,$0.00 ,3.1
enabled,vegetarian lifestyle,eligible,$1.50 ,0,2,0.00%,$0.00 ,$0.00 ,5.5
enabled,vegetarian information,eligible,$1.50 ,0,8,0.00%,$0.00 ,$0.00 ,2.5
enabled,vegetarian cuisine,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegan cuisine,eligible,$1.50 ,0,5,0.00%,$0.00 ,$0.00 ,1.6
enabled,vegetarian news,eligible,$1.50 ,0,8,0.00%,$0.00 ,$0.00 ,1.6
enabled,vegan catering,eligible,$1.50 ,0,8,0.00%,$0.00 ,$0.00 ,1.8
enabled,vegetarian organic food,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegetarian websites,eligible,$1.50 ,0,3,0.00%,$0.00 ,$0.00 ,2.7
enabled,vegetarian resturants,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegetarian restaurant guide,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,"""vegetarian restaurant""",eligible,$1.50 ,0,10,0.00%,$0.00 ,$0.00 ,1.8
enabled,gluten free restaurants,eligible,$1.50 ,0,89,0.00%,$0.00 ,$0.00 ,3.8
enabled,"""vegetarian restaurants""",eligible,$1.50 ,0,55,0.00%,$0.00 ,$0.00 ,1.8
enabled,vegetarian date,eligible,$1.50 ,0,4,0.00%,$0.00 ,$0.00 ,1.3
enabled,vegan date,eligible,$1.50 ,0,7,0.00%,$0.00 ,$0.00 ,1.7
enabled,vegan stores,eligible,$1.50 ,0,24,0.00%,$0.00 ,$0.00 ,1.5
enabled,vegan resturants,eligible,$1.50 ,0,4,0.00%,$0.00 ,$0.00 ,1.8
enabled,vegetarian restaurant philadelphia,eligible,$1.50 ,1,54,1.85%,$0.40 ,$0.40 ,1.2
enabled,vegetarian restaurants in philadelphia,eligible,$1.50 ,0,35,0.00%,$0.00 ,$0.00 ,1.7
enabled,vegetarian resturant,eligible,$1.50 ,0,3,0.00%,$0.00 ,$0.00 ,1
enabled,vegan raw,eligible,$1.50 ,1,63,1.59%,$1.05 ,$1.05 ,1.4
enabled,raw food vegan,eligible,$1.50 ,0,11,0.00%,$0.00 ,$0.00 ,1.9
enabled,vegetarian food philadelphia,eligible,$1.50 ,0,6,0.00%,$0.00 ,$0.00 ,3.3
enabled,"""vegan restaurant""",eligible,$1.50 ,0,16,0.00%,$0.00 ,$0.00 ,1
enabled,"""vegan restaurants""",eligible,$1.50 ,0,25,0.00%,$0.00 ,$0.00 ,1.5
